connections,endorsements,recommendations,posts_per_month,profile_views,account_age_days,has_profile_pic,has_summary,has_experience,has_education,skills_count,mutual_connections,is_fake
205,2,0,0.0,6,1,1,1,0,1,1,2,1
271,47,4,1.1,16,672,1,1,1,1,13,6,0
4,2,2,0.9,182,9,0,1,1,1,3,15,1
612,5,4,3.4,141,586,1,0,1,1,2,9,0
9,4,2,1.8,116,225,0,1,0,0,1,1,1
230,22,0,1.1,10,1071,1,1,1,1,3,7,0
426,4,2,0.8,53,1975,1,0,1,1,3,5,0
3,23,0,0.4,1,188,1,0,0,1,2,10,1
275,9,1,2.9,58,1555,1,1,0,1,4,13,0
244,5,0,0.7,66,115,1,0,0,0,2,7,1
49,9,1,0.4,34,93,1,0,1,0,3,7,1
124,4,3,8.2,18,478,1,1,1,0,9,3,0
191,7,4,1.5,11,1206,1,0,1,1,7,11,0
49,35,6,3.3,60,995,0,1,1,1,2,13,0
476,1,1,0.4,1,227,1,1,1,1,0,12,1
353,17,1,0.9,705,1394,0,1,1,1,4,64,0
67,7,2,2.9,12,1901,0,0,1,1,19,30,0
53,6,6,6.7,9,1663,1,1,1,1,6,10,0
338,1,0,0.4,13,12,1,1,0,1,0,2,1
39,0,0,0.1,2,45,0,1,1,1,15,1,1
55,14,4,0.6,110,1981,1,1,0,1,12,13,0
131,45,3,2.8,20,1302,1,1,1,1,3,6,0
313,19,3,4.4,57,1310,0,1,1,1,5,11,0
6,6,0,0.1,17,207,1,0,0,0,8,8,1
240,7,1,2.1,100,1488,1,1,1,1,25,15,0
28,8,1,0.4,7,115,1,0,0,1,5,4,1
81,0,3,0.8,13,11,1,0,1,1,9,1,1
255,14,3,0.8,87,589,1,1,1,1,15,8,0
601,22,2,13.4,580,1933,1,1,1,1,4,61,0
199,14,5,15.3,380,192,1,1,1,1,9,70,0
362,2,4,4.3,83,69,1,1,1,1,7,20,0
239,3,6,2.9,209,1095,1,1,1,1,7,11,0
294,3,2,6.1,15,1660,1,1,1,1,6,15,0
60,1,1,1.1,39,50,1,0,0,0,2,0,1
149,15,1,8.8,178,2929,1,1,1,1,5,29,0
64,17,2,3.8,3,651,1,1,1,1,4,23,0
51,9,2,0.3,8,16,0,0,1,0,0,5,1
107,11,3,4.3,78,1425,1,1,1,0,9,65,0
551,3,7,0.7,11,1313,1,1,1,0,5,19,0
319,10,4,5.6,25,1049,1,1,1,1,5,6,0
290,16,2,2.2,128,583,1,1,1,1,3,34,0
73,2,2,1.9,82,1893,1,1,1,1,21,11,0
1527,3,1,6.1,29,532,1,1,1,1,10,37,0
346,21,4,2.1,6,1524,1,1,1,1,22,38,0
260,30,3,5.5,158,1209,1,1,1,0,14,3,0
330,50,0,2.9,254,1065,1,1,1,1,5,36,0
45,1,0,0.1,14,144,1,0,0,1,8,5,1
43,9,3,3.6,26,1847,1,1,1,1,28,12,0
129,0,1,0.0,1,170,1,1,1,0,6,2,1
203,18,2,1.9,36,601,1,1,1,1,8,7,0
227,13,2,0.9,152,634,1,1,1,1,5,5,0
14,2,0,0.4,43,107,0,1,1,0,30,1,1
701,9,3,6.6,11,1754,1,1,0,0,2,16,0
913,6,1,0.2,9,39,1,1,0,0,4,5,1
123,5,0,5.1,59,1914,1,1,1,0,3,25,0
178,12,2,1.7,4,128,1,1,0,1,0,6,1
293,16,5,3.2,15,1466,1,1,1,1,2,28,0
460,9,3,4.4,299,204,1,1,1,1,5,17,0
33,3,0,0.6,5,390,1,0,1,0,0,2,1
616,99,2,0.8,23,781,1,1,1,1,2,5,0
170,9,1,4.8,59,1691,0,1,1,1,1,32,0
323,4,2,3.7,24,1552,1,1,1,0,11,40,0
79,5,3,1.7,55,229,1,1,1,0,24,12,0
1251,1,4,5.2,59,1245,1,1,1,0,22,6,0
166,60,1,0.9,115,1743,1,0,1,1,5,21,0
380,13,1,2.5,40,2182,1,1,1,1,4,25,0
728,3,1,6.3,141,65,1,1,1,1,6,12,0
3159,1,3,1.1,4,1497,1,0,1,1,29,14,0
88,14,2,4.7,82,30,1,1,1,1,3,2,0
421,24,5,11.6,26,1796,1,1,1,1,5,11,0
277,19,3,2.8,36,1346,1,1,1,1,11,37,0
25,3,0,0.2,3,180,0,1,1,0,16,3,1
36,6,0,0.1,13,422,0,0,0,0,1,3,1
193,1,0,0.2,160,118,1,1,1,0,1,24,1
173,35,5,1.2,75,819,1,1,0,1,19,6,0
179,25,4,0.5,63,552,1,1,1,1,10,43,0
8,4,0,0.2,78,144,0,0,0,1,4,1,1
12,3,1,0.0,7,24,1,0,0,1,3,12,1
33,1,1,0.2,25,1,1,1,1,0,9,6,1
19,2,0,0.6,8,2,0,1,0,1,7,0,1
2,0,0,0.2,3,193,0,0,0,0,1,27,1
48,0,0,0.4,330,643,0,0,1,1,16,4,1
83,26,0,2.9,25,1353,1,0,1,1,15,16,0
18,28,2,0.8,26,321,0,0,1,0,4,0,1
31,5,1,0.3,47,214,0,0,1,1,2,1,1
317,21,7,0.5,52,2430,1,1,1,1,7,55,0
22,2,1,0.9,172,14,1,0,0,0,0,29,1
1130,11,4,5.0,93,1243,1,1,1,1,5,31,0
14,0,0,0.1,23,60,1,1,0,1,0,4,1
21,4,1,0.6,205,73,0,1,1,1,0,26,1
443,24,2,1.4,150,1663,1,1,1,1,10,5,0
264,9,1,1.0,266,1583,1,1,1,1,9,39,0
28,1,0,1.1,21,18,1,1,1,1,1,3,1
842,22,2,0.8,168,293,1,1,1,1,11,45,0
1261,15,2,9.4,22,697,1,1,1,1,6,453,0
1154,8,1,2.4,51,1535,1,0,1,1,5,172,0
74,1,1,0.1,6,15,1,0,0,1,1,1,1
14,12,0,0.3,19,31,0,0,1,1,1,3,1
322,11,2,1.3,12,398,1,1,1,1,5,71,0
724,4,3,1.2,65,1076,1,1,1,1,14,45,0
19,7,1,0.3,93,25,1,0,0,1,1,8,1
119,4,6,1.7,58,487,1,1,1,1,6,15,0
499,26,3,3.6,61,1013,1,1,1,1,26,57,0
1242,13,4,2.7,29,783,1,1,1,1,4,27,0
62,6,3,1.2,8,1850,1,0,1,1,33,14,0
1149,20,4,11.2,14,1235,1,1,0,1,12,52,0
3,3,0,0.1,4,1,1,1,0,0,6,26,1
99,12,5,1.5,45,1130,1,1,1,1,4,18,0
176,11,3,4.4,32,1636,1,1,1,1,7,20,0
1004,7,7,2.2,10,1702,1,1,1,1,4,25,0
95,6,1,0.2,0,4,1,1,0,1,4,11,1
