subscriber_count,video_count,total_views,avg_likes_per_video,avg_comments_per_video,channel_age_days,has_custom_thumbnail,has_description,uploads_per_month,engagement_rate,is_fake
0,3,2064,0,0,439,1,1,3.3,0.98,1
220,88,2627,112,5,1513,1,1,1.7,15.0,0
14,5,4,0,0,367,0,0,3.1,5.0,1
912,190,351969,16,16,2002,1,1,3.6,15.0,0
15,176,726,63,2,168,1,0,0.8,1.04,1
918,49,66022,1,11,2135,1,1,1.3,15.0,0
144,356,413965,20,8,1883,1,1,4.3,15.0,0
11,4,391,0,24,98,1,0,0.4,0.52,1
7329,15,1071,28,1,1343,1,1,4.2,15.0,0
99,21,625,2,1,299,0,1,0.1,3.16,1
37,71,0,12,17,6,1,1,0.2,1.51,1
165,208,280133,2,0,2553,1,1,6.6,10.92,0
22,705,850,149,12,2263,1,1,4.4,4.26,0
194,6,9885,7,7,105,1,1,0.2,0.79,1
10,8,43,10,9,204,0,1,0.1,1.8,1
264379,3,538603,5,24,1487,1,1,1.1,6.67,0
18128,54,13985,9,11,571,1,0,7.3,10.79,0
9169,227,36005,3,3,635,1,1,1.9,15.0,0
8,42,3386,3,1,86,1,1,0.2,0.33,1
2012,12,40,15,8,148,1,1,0.3,2.52,1
24,4,20202,16,6,98,1,1,1.3,6.31,0
7419,51,244338,1,35,2663,1,0,3.1,7.39,0
686,51,18905,46,10,2443,0,1,18.5,3.78,0
478,3,2606,1,0,651,0,0,4.6,1.34,1
2278,7,550526,4,15,1055,0,1,4.1,15.0,0
636,11,28445,0,1,546,1,1,3.0,4.31,1
1,761,885813,29,4,311,1,1,3.4,1.0,1
13273,60,11172,2,24,702,1,1,1.1,15.0,0
3682,12,270213,67,10,1682,1,1,1.3,15.0,0
28655,6,2444,45,5,825,1,1,3.7,6.56,0
1752,62,2172992,8,1,1368,1,1,1.3,15.0,0
55,1,273,50,0,130,0,1,3.6,0.5,1
22650,10,2541,34,10,1718,1,1,1.4,7.97,0
198,22,12,0,0,365,1,0,2.9,1.11,1
983,28,20416,19,1,2956,1,1,0.5,3.65,0
4018,81,16746,28,0,382,1,1,3.3,15.0,0
16,14,6480,1,0,35,1,0,4.5,1.59,1
791,22,2612,6,7,1919,1,1,3.2,15.0,0
644,223,209,96,29,1387,0,1,2.5,11.3,0
1629,28,74091,113,12,1905,1,1,1.0,9.62,0
131,7,2420,26,2,1408,1,1,1.9,2.8,0
44,8,45823,22,5,2080,1,1,1.5,8.01,0
70,188,9433,5,2,2458,1,1,0.9,5.91,0
259,7,332,276,9,2197,1,1,1.7,3.5,0
30,288,2058,5,15,1616,1,1,1.8,15.0,0
1747,68,893805,305,18,1994,1,1,4.2,5.85,0
27,20,2,1,10,589,0,1,2.1,2.11,1
10296,113,244150,3,1,1822,1,1,2.3,5.88,0
13783,9,5055,0,3,390,1,0,0.2,1.68,1
74,68,339138,4,22,1319,1,1,4.3,5.42,0
6603,21,2482,53,2,1862,1,1,1.9,5.4,0
74,0,69,0,0,475,1,1,1.2,3.09,1
50621,112,8795,11,14,1574,1,1,6.6,1.06,0
34,99,1,1,7,449,0,1,4.4,5.0,1
9077,63,51630,13,6,1986,1,1,4.9,2.69,0
4,1,421,1,1,437,0,1,0.5,0.38,1
165360,51,22936707,466,7,2336,1,1,3.7,8.36,0
6,13,35354,126,3,3134,1,0,2.1,2.43,0
41,204,46770,31,12,51,1,1,0.1,1.46,1
24,114,1506,24,8,1530,1,1,4.1,13.53,0
93,94,38964,9,12,606,1,1,2.3,15.0,0
992,29,159,2,3,123,1,1,4.0,6.3,0
124,248,261253,15,11,3097,1,1,1.3,9.61,0
103724,336,35209,103,30,2114,1,1,7.0,15.0,0
1906,46,1686,59,49,2008,1,1,5.3,15.0,0
1359,245,47911,71,22,1787,1,1,0.8,15.0,0
4150,133,7245,57,3,1709,1,1,0.8,2.86,0
218,1998,100,39,3,2181,1,1,1.9,2.36,0
1414,346,8926,41,102,30,1,1,1.0,9.18,0
6545,54,36700,11,0,2633,1,1,3.2,3.48,0
122,73,116,0,4,97,0,1,0.0,2.65,1
128,3,3,4,6,952,1,1,2.5,0.99,1
4,17,7,4,19,59,1,1,0.8,2.28,1
3,5,130,6,1,7,1,1,0.4,0.49,1
5812,3,60257,156,8,2084,1,1,0.8,10.61,0
26386,5,9340,12,5,1039,1,1,1.4,2.9,0
145,1,1364,3,0,183,1,1,1.4,1.14,1
0,22,761,5,1,123,0,1,1.2,0.25,1
81,1,2767,12,14,173,0,1,0.3,5.0,1
58,54,3790,8,59,125,0,1,0.2,0.71,1
591,62,71,1,1,473,0,1,4.6,2.05,1
64,4,29602,0,0,85,1,1,0.0,0.53,1
129,4,870328,4,26,915,1,1,3.4,15.0,0
149,29,89,1,4,233,1,1,0.5,0.72,1
196,20,4475,7,23,103,1,1,2.4,2.97,1
3944,19,2351,1107,5,1587,0,1,6.2,10.99,0
9,6,11,4,0,97,1,1,0.8,1.8,1
2415,28,25039,1,8,1441,1,1,3.8,15.0,0
3,0,377,6,0,392,1,0,2.7,0.28,1
197,4,414,3,1,102,0,1,2.1,0.84,1
4362,44,20940,8,1,1766,1,1,1.4,4.21,0
1078,189,11941539,12,4,1794,1,1,1.8,6.11,0
1283,1,728,28,2,4,1,0,1.4,0.71,1
262,91,12202,61,25,794,1,1,7.9,13.05,0
384,0,6676,7,0,459,1,1,2.8,4.33,1
213,386,12936591,13,11,834,1,1,5.9,7.35,0
33,611,725,2,3,149,1,1,1.4,5.0,1
48,75,85,0,58,205,1,0,0.6,1.03,1
5,262,5489,17,7,2556,1,1,1.2,3.48,0
66,1033,1940,7,29,228,0,0,0.2,3.91,1
128,162,903,0,7,309,0,1,4.1,2.25,1
19185,23,46874,30,3,1541,1,1,4.0,1.27,0
27,260,354260,8,15,1585,1,1,2.7,5.72,0
8558,690,2866,244,1,1492,1,1,1.2,2.09,0
205,20,585170,1,0,906,1,0,3.0,5.91,0
13311,199,6232,21,10,1063,1,1,14.4,3.9,0
860,206,22,7,1,701,1,1,2.2,1.87,1
103208,21,100,25,14,2064,1,1,5.0,15.0,0
300,3,13214,150,12,1256,1,1,4.4,5.47,0
242,47,728,30,0,1212,1,1,0.8,5.97,0
23,20,3578,0,0,49,1,0,0.1,0.39,1
106,489,9029,15,8,1425,1,1,2.1,5.32,0
120,0,876,107,0,156,0,1,1.5,5.0,1
921,26,812,16,3,177,1,1,3.8,0.72,1
8714,27,127719,53,121,1897,1,1,1.6,6.85,0
11,30,3,52,0,316,0,1,0.4,0.21,1
